ZCTA,Counties,Population Density (People per Square Kilometer),Median Value of Owner Occupied Units (Dollars)
02071,Norfolk County,388.5501340056428,515200
02072,Norfolk County,702.8114305398917,374300
02081,Norfolk County,448.35282178245427,506400
02090,Norfolk County,576.7188942484186,754800
02093,Norfolk County,216.61576694192593,474900
02108,Suffolk County,5960.6299545621805,1534500
02109,Suffolk County,8927.57530151343,786300
02110,Suffolk County,6304.674870010598,1123600
02111,Suffolk County,19139.05758460996,937300
02113,Suffolk County,28270.48578739611,670200
02114,Suffolk County,12598.928451078036,725200
02115,Suffolk County,17169.499094369225,786800
02116,Suffolk County,13917.344954903,1212700
02118,Suffolk County,10320.268022397677,920100
02119,Suffolk County,6974.1791624196085,489800
02120,Suffolk County,10963.979416809607,538100
02121,Suffolk County,5890.040965740667,536800
02122,Suffolk County,5546.881326538319,526200
02124,Suffolk County,6631.299389663384,451000
02125,Suffolk County,6220.244307459521,548700
02126,Suffolk County,4800.932564361935,405600
02127,Suffolk County,7118.835332345227,700100
02128,Suffolk County,3309.2064881532165,528400
02129,Suffolk County,5453.5844910553515,756200
02130,Suffolk County,4175.132659485564,632700
02131,Suffolk County,4230.4826329158805,491500
02132,Suffolk County,2152.072998544725,579300
02133,Suffolk County,1663.9429505274106,-
02134,Suffolk County,6790.019575225734,522300
02135,Suffolk County,7014.757992185924,568700
02136,Suffolk County,2947.3169818338906,428800
02138,Middlesex County,5355.562116878213,894700
02139,Middlesex County,9834.049023200892,851300
02140,Middlesex County,7148.559172184383,850000
02141,Middlesex County,9595.955111479248,720100
02142,Middlesex County,5537.312551077677,948500
02143,Middlesex County,6504.818620249529,729200
02144,Middlesex County,9016.02388997035,748500
02145,Middlesex County,7640.469278067272,652800
02148,Middlesex County,5071.072216448182,447000
02149,Middlesex County|Suffolk County,5541.839448027145,434300
02150,Suffolk County,7100.7367879754975,369900
02151,Suffolk County,4212.8500317560865,388900
02152,Suffolk County,4500.193371324198,461000
02155,Middlesex County,2898.537469736088,551900
02163,Suffolk County,2927.367200439421,-
02169,Norfolk County,1983.5955308896805,426600
02170,Norfolk County,3694.4574434613755,481800
02171,Norfolk County,3075.869560084064,479900
02176,Middlesex County,2458.216218983642,599600
02180,Middlesex County,1501.2611911581373,526800
02184,Norfolk County,1098.102002939961,489600
02186,Norfolk County,807.300770689341,651600
02188,Norfolk County,1512.9936187921946,384600
